PaperName,Author,FromSchool,Time,Url
基于大数据的战略预见研究,赵博,中共中央党校,2016-07-01,//cdmd.cnki.com.cn/Article/CDMD-80000-1016210100.htm
基于大数据信息的知识供给型供应链运营机制研究,刘盼,重庆大学,2017-11-01,//cdmd.cnki.com.cn/Article/CDMD-10611-1018701881.htm
基于大数据的电网覆冰灾害预测与风险管理研究,马天男,华北电力大学(北京),2017-06-01,//cdmd.cnki.com.cn/Article/CDMD-11412-1017220115.htm
文化强国战略视域下的大数据文化研究,杨修伟,武汉理工大学,2017-03-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1019809642.htm
条带状公路运营管理空间大数据降维组织及混合存储关键技术研究,侯志通,浙江大学,2015-06-10,//cdmd.cnki.com.cn/Article/CDMD-10335-1015321851.htm
大数据发布隐私保护技术研究,晏燕,兰州理工大学,2018-09-01,//cdmd.cnki.com.cn/Article/CDMD-10731-1019807764.htm
大数据环境下人文社会科学评价创新的研究,马力,武汉大学,2016-10-01,//cdmd.cnki.com.cn/Article/CDMD-10486-1017009816.htm
云环境下面向异构负载大数据应用的资源管理机制研究,沈典,东南大学,2018-03-12,//cdmd.cnki.com.cn/Article/CDMD-10286-1018259967.htm
大数据时代信息熵的价值评价研究,金坚,吉林大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1019139316.htm
矢量大数据高性能计算模型及关键技术研究,周经纬,浙江大学,2016-06-10,//cdmd.cnki.com.cn/Article/CDMD-10335-1016294507.htm
大数据视阈下高校马克思主义大众化研究,吴朝文,电子科技大学,2017-10-12,//cdmd.cnki.com.cn/Article/CDMD-10614-1018055157.htm
大数据背景下县级党政领导干部绩效评价与考核研究,潘国林,中国地质大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-10491-1018817103.htm
基于云的大数据处理系统性能优化问题研究,徐华,中国科学技术大学,2018-01-01,//cdmd.cnki.com.cn/Article/CDMD-10358-1018048658.htm
基于用户认知的大数据可视化视觉呈现方法研究,周小舟,东南大学,2017-11-01,//cdmd.cnki.com.cn/Article/CDMD-10286-1018260009.htm
大数据时代的个人信息民法保护,任龙龙,对外经济贸易大学,2017-06-01,//cdmd.cnki.com.cn/Article/CDMD-10036-1017219710.htm
面向医疗大数据处理的医疗云关键技术研究,姚琴,浙江大学,2015-04-28,//cdmd.cnki.com.cn/Article/CDMD-10335-1015314705.htm
作物种质资源大数据体系研究,井福荣,中国农业科学院,2020-08-01,//cdmd.cnki.com.cn/Article/CDMD-82101-1020086273.htm
大数据领域的反垄断问题研究,袁波,上海交通大学,2019-06-02,//cdmd.cnki.com.cn/Article/CDMD-10248-1020619096.htm
基于时空信息云平台的空间大数据管理和高性能计算研究,宋炜炜,昆明理工大学,2015-09-20,//cdmd.cnki.com.cn/Article/CDMD-10674-1016036979.htm
大数据联盟数据挖掘服务模式研究,邢海龙,哈尔滨理工大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-10214-1020146483.htm
基于复杂网络的大数据分析方法研究与应用,杜祥军,青岛大学,2018-05-19,//cdmd.cnki.com.cn/Article/CDMD-11065-1019671251.htm
互联网背景下财产概念的流变及对刑法适用的影响,张弛,上海交通大学,2019-05-29,//cdmd.cnki.com.cn/Article/CDMD-10248-1020619099.htm
