PaperName,Author,FromSchool,Time,Url
滑模变结构的智能控制理论与应用研究,张昌凡,湖南大学,2001-07-01,//cdmd.cnki.com.cn/Article/CDMD-10532-2001015043.htm
近红外光谱技术在药品检测中的应用研究,白英奎,吉林大学,2005-06-11,//cdmd.cnki.com.cn/Article/CDMD-10183-2005107388.htm
人民币汇率预测和风险管理研究,罗士勋,吉林大学,2005-04-01,//cdmd.cnki.com.cn/Article/CDMD-10183-2005107319.htm
基于神经网络技术的结构可靠性分析与优化设计,张雷,吉林大学,2004-06-30,//cdmd.cnki.com.cn/Article/CDMD-10183-2004100022.htm
多传感器图象信息融合方法与应用研究,李树涛,湖南大学,2001-03-01,//cdmd.cnki.com.cn/Article/CDMD-10532-2001008350.htm
基于人工神经网络方法的锦屏一级水电站枢纽区高边坡稳定性分区研究,徐佩华,吉林大学,2006-04-24,//cdmd.cnki.com.cn/Article/CDMD-10183-2006109731.htm
结构有限元分析神经网络计算研究,李海滨,大连理工大学,2003-05-01,//cdmd.cnki.com.cn/Article/CDMD-10141-2003110462.htm
基于神经网络的无线通信算法研究,李素芳,山东大学,2015-04-25,//cdmd.cnki.com.cn/Article/CDMD-10422-1015368831.htm
工程车辆节能换挡规律智能控制方法研究,陈宁,吉林大学,2005-09-01,//cdmd.cnki.com.cn/Article/CDMD-10183-2006013726.htm
基于优化算法的径向基神经网络模型的改进及应用,卢金娜,中北大学,2015-04-12,//cdmd.cnki.com.cn/Article/CDMD-10110-1015584651.htm
基于神经网络的混合非线性电阻率反演成像,江沸菠,中南大学,2014-05-01,//cdmd.cnki.com.cn/Article/CDMD-10533-1014403379.htm
基于卷积神经网络的地震数据重构与模型构建研究,毛博,吉林大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1020754815.htm
忆阻神经网络的同步控制及在信息安全中的应用研究,陈川,北京邮电大学,2019-06-10,//cdmd.cnki.com.cn/Article/CDMD-10013-1019044421.htm
计算智能在机械设备故障诊断中的应用研究,冯志鹏,大连理工大学,2003-05-01,//cdmd.cnki.com.cn/Article/CDMD-10141-2003110447.htm
模块化神经网络结构自组织设计方法,张昭昭,北京工业大学,2013-01-01,//cdmd.cnki.com.cn/Article/CDMD-10005-1013020207.htm
基于现代信号分析和神经网络的滚动轴承智能诊断技术研究,陆爽,吉林大学,2004-11-01,//cdmd.cnki.com.cn/Article/CDMD-10183-2005013355.htm
BP神经网络的理论及其在农业机械化中的应用研究,王吉权,沈阳农业大学,2011-05-06,//cdmd.cnki.com.cn/Article/CDMD-10157-1012302301.htm
小波过程神经网络相关理论及其应用研究,李洋,哈尔滨工业大学,2008-09-01,//cdmd.cnki.com.cn/Article/CDMD-10213-2009223963.htm
基于忆阻的时滞递归神经网络的动力学分析与同步控制,张国东,华中科技大学,2014-05-01,//cdmd.cnki.com.cn/Article/CDMD-10487-1014268614.htm
人工神经网络的泛化性能与降水预报的应用研究,林开平,南京信息工程大学,2007-05-01,//cdmd.cnki.com.cn/Article/CDMD-10300-2007127467.htm
神经网络集成分类方法及其在并行计算环境中的应用研究,王征宇,华南理工大学,2015-06-12,//cdmd.cnki.com.cn/Article/CDMD-10561-1016706616.htm
时滞递归神经网络稳定性分析及网络化同步控制,张益军,东华大学,2008-04-01,//cdmd.cnki.com.cn/Article/CDMD-10255-2009109928.htm
基于深度神经网络的语音识别模型研究,张仕良,中国科学技术大学,2017-06-01,//cdmd.cnki.com.cn/Article/CDMD-10358-1017065338.htm
时滞切换系统的动力学及其在忆阻神经网络中的应用,李宁,东南大学,2015-05-01,//cdmd.cnki.com.cn/Article/CDMD-10286-1016755915.htm
基于BP和RBF神经网络的木材缺陷检测研究,牟洪波,东北林业大学,2010-03-01,//cdmd.cnki.com.cn/Article/CDMD-10225-2010242141.htm
土地利用规划人工神经网络模型构建及应用研究,汤江龙,南京农业大学,2006-12-01,//cdmd.cnki.com.cn/Article/CDMD-10307-2007125679.htm
神经网络硬化实现的共性技术在电力传动中应用研究,汪木兰,合肥工业大学,2010-11-01,//cdmd.cnki.com.cn/Article/CDMD-10359-1011033736.htm
两类新型神经网络及其在非线性系统控制中的应用,姚赛,东北石油大学,2015-08-07,//cdmd.cnki.com.cn/Article/CDMD-10220-1016280146.htm
基于机器学习的测井曲线补全与生成研究,陈云天,北京大学,2019-11-01,//cdmd.cnki.com.cn/Article/CDMD-10001-1020606242.htm
基于深度神经网络的文本表示及其应用,户保田,哈尔滨工业大学,2016-06-01,//cdmd.cnki.com.cn/Article/CDMD-10213-1016739840.htm
智能神经网络的机器人控制理论方法研究,孙炜,湖南大学,2002-10-20,//cdmd.cnki.com.cn/Article/CDMD-10532-2003080734.htm
选择性神经网络集成算法研究,傅强,浙江大学,2007-09-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2008091453.htm
基于优化机器学习算法的模拟电路故障诊断研究,李晴,湖南大学,2013-06-03,//cdmd.cnki.com.cn/Article/CDMD-10532-1014233571.htm
神经网络及其在控制中的应用研究,杨旭华,浙江大学,2004-05-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2004075827.htm
基于李雅普诺夫方法的分数阶神经网络动力学分析及控制,张硕,北京交通大学,2017-06-01,//cdmd.cnki.com.cn/Article/CDMD-10004-1017090381.htm
具有广义分段线性激活函数的递归神经网络的多稳定性分析,黄玉娇,东北大学,2014-03-01,//cdmd.cnki.com.cn/Article/CDMD-10145-1016011449.htm
基于正交基神经网络的结构可靠性分析,沙丽荣,吉林大学,2011-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1011098789.htm
模拟电路故障诊断的神经网络方法及其应用,祝文姬,湖南大学,2011-03-03,//cdmd.cnki.com.cn/Article/CDMD-10532-1012328810.htm
基于神经网络的多模型自适应控制方法研究,贾超,北京科技大学,2017-05-20,//cdmd.cnki.com.cn/Article/CDMD-10008-1017132188.htm
基于极限学习的系统辨识方法及应用研究,杨易旻,湖南大学,2013-04-10,//cdmd.cnki.com.cn/Article/CDMD-10532-1013347909.htm
基于计算智能的若干优化问题研究,葛宏伟,吉林大学,2006-04-01,//cdmd.cnki.com.cn/Article/CDMD-10183-2006094292.htm
基于深度神经网络的回归模型及其应用研究,包姣,电子科技大学,2017-05-11,//cdmd.cnki.com.cn/Article/CDMD-10614-1017066291.htm
忆阻时滞神经网络的同步控制及应用研究,秦小立,北京邮电大学,2020-05-22,//cdmd.cnki.com.cn/Article/CDMD-10013-1020162522.htm
小波神经网络若干关键问题研究,侯霞,南京航空航天大学,2006-06-01,//cdmd.cnki.com.cn/Article/CDMD-10287-2007193971.htm
随机回归神经网络的动力学行为研究,朱松,华中科技大学,2010-11-01,//cdmd.cnki.com.cn/Article/CDMD-10487-1011035947.htm
基于深度神经网络的纱线质量预测模型研究,胡臻龙,东华大学,2020-08-01,//cdmd.cnki.com.cn/Article/CDMD-10255-1020432235.htm
基于卷积神经网络的图像分类研究,冉令燕,西北工业大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-10699-1020706671.htm
基于图论分析的生物活性功能脑网络研究,韩尧,中国人民解放军军事医学科学院,2017-05-27,//cdmd.cnki.com.cn/Article/CDMD-90106-1017230429.htm
时滞分数阶Hopfield神经网络的动力学分析,王虎,北京交通大学,2015-06-01,//cdmd.cnki.com.cn/Article/CDMD-10004-1015611856.htm
基于卷积神经网络的心电信号检测和分类研究,项延德,浙江大学,2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-10335-1018122562.htm
基于小波神经网络的模拟电路故障诊断方法研究,金瑜,电子科技大学,2008-01-04,//cdmd.cnki.com.cn/Article/CDMD-10614-2008123888.htm
基于粗糙集的粒度神经网络研究,许新征,中国矿业大学,2012-05-01,//cdmd.cnki.com.cn/Article/CDMD-10290-1012032590.htm
基于神经网络的建筑电气节能关键问题研究,郭晓岩,东北大学,2015-03-01,//cdmd.cnki.com.cn/Article/CDMD-10145-1016011940.htm
基于神经网络的句法分析研究,周浩,南京大学,2017-05-01,//cdmd.cnki.com.cn/Article/CDMD-10284-1017095412.htm
基于忆阻器的分数阶神经网络的控制研究,谷雅娟,北京交通大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-10004-1020444634.htm
多声道超声波流量计算与流场剖面识别智能算法,秦龙辉,浙江大学,2016-10-08,//cdmd.cnki.com.cn/Article/CDMD-10335-1017047151.htm
时滞神经网络的不连续控制和同步,张伟,重庆大学,2015-10-01,//cdmd.cnki.com.cn/Article/CDMD-10611-1016704660.htm
右端非连续神经网络的动力学分析,肖剑,华中科技大学,2014-05-01,//cdmd.cnki.com.cn/Article/CDMD-10487-1014268609.htm
K-均值算法与自组织神经网络算法的改进研究及应用,王晓燕,中北大学,2017-06-05,//cdmd.cnki.com.cn/Article/CDMD-10110-1017202042.htm
基于云计算的神经网络并行实现及其学习方法研究,张海军,华南理工大学,2015-06-20,//cdmd.cnki.com.cn/Article/CDMD-10561-1016706683.htm
基于动态模型的神经网络稳定性研究,尹丽子,山东师范大学,2011-12-12,//cdmd.cnki.com.cn/Article/CDMD-10445-1012254746.htm
神经网络模型在预测急性心肌梗死中的应用及模型预测能力的比较研究,郭晋,北京协和医学院,2013-04-10,//cdmd.cnki.com.cn/Article/CDMD-10023-1013311927.htm
端到端神经网络机器翻译技术研究,李真,战略支援部队信息工程大学,2020-04-15,//cdmd.cnki.com.cn/Article/CDMD-91037-1020764342.htm
模糊神经网络学习算法及收敛性研究,李龙,大连理工大学,2009-10-01,//cdmd.cnki.com.cn/Article/CDMD-10141-2010111406.htm
基于鞅论的随机神经网络稳定性分析与适应同步研究,高燕,东华大学,2013-03-01,//cdmd.cnki.com.cn/Article/CDMD-10255-1014139821.htm
计算机味觉信号识别的研究,黄艳新,吉林大学,2004-10-01,//cdmd.cnki.com.cn/Article/CDMD-10183-2005013365.htm
人工智能方法在大地测量坐标转换中的应用研究,Yao Yevenyo Ziggah,中国地质大学,2017-05-01,//cdmd.cnki.com.cn/Article/CDMD-10491-1017740289.htm
基于卷积神经网络的硬件加速器设计及实现研究,赵博雅,哈尔滨工业大学,2018-12-01,//cdmd.cnki.com.cn/Article/CDMD-10213-1019645605.htm
基于机器学习的交通状态判别与预测方法,魏丹,吉林大学,2020-05-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1020754210.htm
基于深度学习的运动目标检测与跟踪研究,周祥增,西北工业大学,2016-03-01,//cdmd.cnki.com.cn/Article/CDMD-10699-1018811419.htm
基于人工神经网络模型的区域纵向紧密型医疗联合体绩效评估研究,龙俊睿,中国人民解放军海军军医大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-91020-1018084021.htm
基于遗传算法、小波与神经网络的模拟电路故障诊断方法,刘美容,湖南大学,2009-04-01,//cdmd.cnki.com.cn/Article/CDMD-10532-2009160216.htm
GABOR小波神经网络算法及其在灰度图象目标识别中的应用研究,许廷发,中国科学院研究生院（长春光学精密机械与物理研究所）,2003-10-01,//cdmd.cnki.com.cn/Article/CDMD-80139-2004044285.htm
基于（多）小波（包）、神经网络及优化的模拟电路故障诊断研究,谢涛,湖南大学,2011-04-01,//cdmd.cnki.com.cn/Article/CDMD-10532-1012482986.htm
通信信道建模的神经网络优化技术研究,马永涛,天津大学,2009-05-01,//cdmd.cnki.com.cn/Article/CDMD-10056-2010090289.htm
两类脉冲时滞微分系统和神经网络的稳定性,王华敏,西南大学,2016-04-10,//cdmd.cnki.com.cn/Article/CDMD-10635-1016909035.htm
基于惯性项和四元数的神经网络的动力学行为分析,涂正文,东南大学,2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-10286-1019650241.htm
几类递归神经网络的稳定性及其应用研究,张锐,东北大学,2009-11-01,//cdmd.cnki.com.cn/Article/CDMD-10145-1012300488.htm
模拟电路故障诊断优化理论与方法的研究,方葛丰,湖南大学,2013-10-16,//cdmd.cnki.com.cn/Article/CDMD-10532-1014237792.htm
带Lévy噪声的神经网络稳定性分析与同步控制,杨峻,东华大学,2015-03-01,//cdmd.cnki.com.cn/Article/CDMD-10255-1015041799.htm
基于神经网络的入侵检测相关技术研究,谢康,山东大学,2016-04-25,//cdmd.cnki.com.cn/Article/CDMD-10422-1016164816.htm
地理时空神经网络加权回归理论与方法研究,吴森森,浙江大学,2018-06-10,//cdmd.cnki.com.cn/Article/CDMD-10335-1018176476.htm
基于深度卷积神经网络的光学遥感目标检测技术研究,丁鹏,中国科学院大学(中国科学院长春光学精密机械与物理研究所),2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1019042146.htm
基于序列构造神经网络的多维数据分析研究,王仁武,东华大学,2007-11-01,//cdmd.cnki.com.cn/Article/CDMD-10255-2008045452.htm
量子计算在动态递归与自组织神经网络中的机理及应用研究,李鹏华,重庆大学,2012-10-01,//cdmd.cnki.com.cn/Article/CDMD-10611-1013007934.htm
神经网络优化方法及其在组合导航中的应用研究,杨一,西北工业大学,2016-03-01,//cdmd.cnki.com.cn/Article/CDMD-10699-1017819044.htm
基于神经计算的变分不等式优化求解方法研究,黄博南,东北大学,2013-09-01,//cdmd.cnki.com.cn/Article/CDMD-10145-1016011390.htm
经济模型的构建与预测方法的研究,余伟,华南理工大学,2012-09-01,//cdmd.cnki.com.cn/Article/CDMD-10561-1013320506.htm
直流电法地电模型参数辨识的非线性方法研究,高明亮,吉林大学,2016-12-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1017011823.htm
基于非单调激励函数的递归神经网络的多稳定性分析,刘鹏,华中科技大学,2017-05-01,//cdmd.cnki.com.cn/Article/CDMD-10487-1017144708.htm
神经网络中的若干问题研究,吕建成,电子科技大学,2006-09-01,//cdmd.cnki.com.cn/Article/CDMD-10614-2007051035.htm
基于动态时滞区间方法的具有时变时滞的随机神经网络稳定性分析,单麒赫,东北大学,2017-04-01,//cdmd.cnki.com.cn/Article/CDMD-10145-1019030889.htm
基于补偿模糊神经网络的遥感图像信息提取,饶萍,西南大学,2017-09-22,//cdmd.cnki.com.cn/Article/CDMD-10635-1018807209.htm
马尾松人工林生长的人工神经网络模型研究,黄家荣,北京林业大学,2004-11-01,//cdmd.cnki.com.cn/Article/CDMD-10022-2005076772.htm
自组织神经网络在信息处理中的应用研究,谭秀辉,中北大学,2015-11-25,//cdmd.cnki.com.cn/Article/CDMD-10110-1016008915.htm
基于深度学习的图像分类,孙炜晨,北京邮电大学,2016-10-01,//cdmd.cnki.com.cn/Article/CDMD-10013-1017289472.htm
进化计算优化前向神经网络的学习方法研究,季伟东,东北林业大学,2013-03-01,//cdmd.cnki.com.cn/Article/CDMD-10225-1013359208.htm
复杂网络的若干同步控制问题研究及其应用,赵慧,北京邮电大学,2017-04-20,//cdmd.cnki.com.cn/Article/CDMD-10013-1017293618.htm
时滞神经网络的稳定性与同步研究,高明,江南大学,2009-06-01,//cdmd.cnki.com.cn/Article/CDMD-10295-2009250285.htm
几类随机非线性系统的自适应神经网络控制,王焕清,青岛大学,2013-04-18,//cdmd.cnki.com.cn/Article/CDMD-11065-1013228732.htm
定性资料处理技术的应用研究,刘洪,吉林大学,2005-03-01,//cdmd.cnki.com.cn/Article/CDMD-10183-2005107113.htm
智能仿生鼻及其应用研究,石志标,吉林大学,2004-05-01,//cdmd.cnki.com.cn/Article/CDMD-10183-2004100161.htm
基于部件神经网络模型的制冷系统混合仿真方法及应用,赵灵晓,上海交通大学,2010-02-01,//cdmd.cnki.com.cn/Article/CDMD-10248-2010113565.htm
非线性随机系统自适应神经网络控制,李子富,大连海事大学,2015-08-01,//cdmd.cnki.com.cn/Article/CDMD-10151-1016052680.htm
基于小波和迟滞的混沌神经网络及其应用,孙明,哈尔滨工程大学,2010-05-01,//cdmd.cnki.com.cn/Article/CDMD-10217-1011020363.htm
分数阶脉冲和四元数值神经网络的稳定性和同步性,杨绪君,西南大学,2018-03-26,//cdmd.cnki.com.cn/Article/CDMD-10635-1018859770.htm
三轴受压混凝土损伤特性理论与试验研究,逯静洲,大连理工大学,2001-08-01,//cdmd.cnki.com.cn/Article/CDMD-10141-2002112533.htm
基于计算机视觉的人工神经网络和图像处理技术的牛肉大理石花纹自动分级研究,艾虎,四川农业大学,2009-06-08,//cdmd.cnki.com.cn/Article/CDMD-10626-2009258895.htm
数控机床误差测量、建模及网络群控实时补偿系统研究,张毅,上海交通大学,2013-01-01,//cdmd.cnki.com.cn/Article/CDMD-10248-1014008470.htm
多模块自组织神经网络设计及其在污水检测中的应用研究,卢超,北京工业大学,2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-10005-1019700184.htm
深度卷积神经网络中反馈机制的计算建模及应用研究,曹春水,中国科学技术大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-10358-1018088275.htm
基于非平稳振动信号的综放工作面垮落煤岩识别方法研究,李一鸣,中国矿业大学(北京),2018-03-28,//cdmd.cnki.com.cn/Article/CDMD-11413-1018097044.htm
深度神经网络的训练优化方法研究,袁群勇,华南理工大学,2020-06-16,//cdmd.cnki.com.cn/Article/CDMD-10561-1020334163.htm
递归神经网络的稳定性和无源性分析,朱进,东北大学,2010-01-01,//cdmd.cnki.com.cn/Article/CDMD-10145-1013117080.htm
动态跟踪模糊神经网络控制系统的研究,徐开俊,西南交通大学,2010-05-01,//cdmd.cnki.com.cn/Article/CDMD-10613-1011234249.htm
基于深度卷积神经网络MSCT对小肾肿瘤病理分型的预测研究,李骁,中国人民解放军海军军医大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-91020-1018083989.htm
时滞递归神经网络的稳定性与同步控制研究,盛银,华中科技大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-10487-1018180736.htm
基于深度学习的人体行为识别方法研究,余胜,厦门大学,2018-04-01,//cdmd.cnki.com.cn/Article/CDMD-10384-1018194660.htm
基于机器学习方法的人脸表情识别研究,Ongalo Phoebe Nasimiyu Fedha,中南大学,2014-06-03,//cdmd.cnki.com.cn/Article/CDMD-10533-1014404112.htm
曲线拟合和径向基函数神经网络方法定量解析分子荧光光谱及其分析应用研究,夏祥华,河北大学,2013-06-01,//cdmd.cnki.com.cn/Article/CDMD-10075-1013032486.htm
忆阻神经网络的动力学研究,付钱华,电子科技大学,2019-03-07,//cdmd.cnki.com.cn/Article/CDMD-10614-1019851863.htm
多轴运动下的轮廓跟踪误差控制与补偿方法研究,肖本贤,合肥工业大学,2004-08-01,//cdmd.cnki.com.cn/Article/CDMD-10359-2005011900.htm
数据融合的神经计算方法,蔺杰,浙江大学,2005-03-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2005042321.htm
神经网络技术在大气激光信道反演分析及信道编码译码中的应用研究,肖伟,武汉大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-10486-1018199092.htm
基于神经网络的非线性系统辨识方法研究,李鸿鹏,东北林业大学,2018-04-01,//cdmd.cnki.com.cn/Article/CDMD-10225-1018248223.htm
信息受限下神经网络的状态估计和拟同步研究,饶红霞,广东工业大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-11845-1019058376.htm
小波神经网络研究及其在PID控制器参数整定中的应用,杜雪,哈尔滨工程大学,2016-01-01,//cdmd.cnki.com.cn/Article/CDMD-10217-1018044393.htm
红景天苷缓释微囊技术及其优化研究,赵武奇,吉林大学,2004-03-30,//cdmd.cnki.com.cn/Article/CDMD-10183-2004100222.htm
连续型Hopfield神经网络的稳定性和同步性分析,张欣欣,燕山大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-10216-1020343298.htm
电厂冷凝器清洗机器人的神经网络控制理论研究,伍锡如,湖南大学,2011-12-12,//cdmd.cnki.com.cn/Article/CDMD-10532-1012483240.htm
摄像机标定方法及边缘检测和轮廓跟踪算法研究,袁野,大连理工大学,2002-03-01,//cdmd.cnki.com.cn/Article/CDMD-10141-2002112489.htm
几类神经网络的分析与优化及其应用研究,张莉,西安电子科技大学,2012-01-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1013114497.htm
外圆纵向智能磨削研究,丁宁,吉林大学,2004-05-01,//cdmd.cnki.com.cn/Article/CDMD-10183-2004100024.htm
体外冲击波治疗上尿路结石的疗效预测：人工神经网络和Logistic回归模型的建立与比较,张鹏,南方医科大学,2012-03-20,//cdmd.cnki.com.cn/Article/CDMD-90023-1013123872.htm
旋转机械故障诊断量子神经计算技术研究,陈平,重庆大学,2007-09-01,//cdmd.cnki.com.cn/Article/CDMD-10611-2008042690.htm
基于卷积神经网络的目标检测若干问题研究,李旭冬,电子科技大学,2017-09-26,//cdmd.cnki.com.cn/Article/CDMD-10614-1018055108.htm
混沌神经网络及模糊混沌神经网络的研究与应用,郑丽颖,哈尔滨工程大学,2002-09-01,//cdmd.cnki.com.cn/Article/CDMD-10217-2003114008.htm
有限精度权值神经网络优化的研究与应用,包健,华东理工大学,2009-12-06,//cdmd.cnki.com.cn/Article/CDMD-10251-1011051469.htm
中立型随机微分系统稳定性分析与同步控制,孙雨晴,东华大学,2020-03-01,//cdmd.cnki.com.cn/Article/CDMD-10255-1020757433.htm
混沌神经网络研究及应用,徐耀群,哈尔滨工程大学,2002-05-01,//cdmd.cnki.com.cn/Article/CDMD-10217-2003032566.htm
微波加热过程热点与热均匀性控制与优化研究,李建硕,重庆大学,2016-12-01,//cdmd.cnki.com.cn/Article/CDMD-10611-1017801848.htm
铝合金点焊工艺设计及质量控制智能化研究,曹海鹏,吉林大学,2005-04-25,//cdmd.cnki.com.cn/Article/CDMD-10183-2005107328.htm
图像复原算法研究,吴亚东,电子科技大学,2006-09-01,//cdmd.cnki.com.cn/Article/CDMD-10614-2007051024.htm
