PaperName,Author,FromSchool,Time,Url
基于雷达系统的路面目标识别关键技术研究,杜瑞,西北工业大学,2018-07-01,//cdmd.cnki.com.cn/Article/CDMD-10699-1020706634.htm
拦截机动目标的有限时间制导律及多弹协同制导律研究,宋俊红,哈尔滨工业大学,2017-10-01,//cdmd.cnki.com.cn/Article/CDMD-10213-1018896980.htm
面向城市复杂环境GNSS高精度定位的标量深组合基带技术研究,严昆仑,武汉大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-10486-1018201171.htm
人机共驾车辆驾驶人接管过程的认知体系结构模型,邓超,武汉理工大学,2019-03-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1020625084.htm
基于双足模型和微观评价方法的行人运动模拟与预测,黄中意,中国科学技术大学,2019-05-31,//cdmd.cnki.com.cn/Article/CDMD-10358-1019133101.htm
应用于车载激光雷达系统的高性能片上电源管理关键技术研究,王朗圆,浙江大学,2017-10-26,//cdmd.cnki.com.cn/Article/CDMD-10335-1018077203.htm
基于单目视觉的汽车自动导航技术研究,匡平,电子科技大学,2006-09-01,//cdmd.cnki.com.cn/Article/CDMD-10614-2007051025.htm
纳米MOS器件NBTI效应精准模型及可靠性预测技术研究,卿健,华东师范大学,2019-05-01,//cdmd.cnki.com.cn/Article/CDMD-10621-1019835468.htm
接入网融合组网与资源管理研究,常巍,北京邮电大学,2020-05-18,//cdmd.cnki.com.cn/Article/CDMD-10013-1020162446.htm
基于磁道钉导航的车道保持系统信息融合与控制技术研究,吴超仲,武汉理工大学,2002-07-01,//cdmd.cnki.com.cn/Article/CDMD-10497-2003095122.htm
高精度光流估计方法研究,胡银林,西安电子科技大学,2017-12-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1018046145.htm
强化学习中的优化方法研究,黎彧君,上海交通大学,2020-08-31,//cdmd.cnki.com.cn/Article/CDMD-10248-1021679645.htm
面向复杂场景的车辆概率定位方法研究,李天一,上海交通大学,2020-05-27,//cdmd.cnki.com.cn/Article/CDMD-10248-1021676444.htm
