PaperName,Author,FromSchool,Time,Url
智慧教室中的教学交互对大学生深度学习的影响研究,陈蓓蕾,华中师范大学,2018-09-01,//cdmd.cnki.com.cn/Article/CDMD-10511-1019205319.htm
遥感图像场景深度学习与应用研究,李二珠,南京大学,2017-12-01,//cdmd.cnki.com.cn/Article/CDMD-10284-1018151393.htm
智慧教室中基于APT教学的小学生深度学习研究,白清玉,华中师范大学,2017-09-01,//cdmd.cnki.com.cn/Article/CDMD-10511-1018235548.htm
基于深度学习的自然场景图像的中文字检测和识别算法研究,任逍航,上海交通大学,2017-06-30,//cdmd.cnki.com.cn/Article/CDMD-10248-1019610581.htm
基于深度学习的在线医疗信息抽取研究,陈德鑫,武汉大学,2017-05-01,//cdmd.cnki.com.cn/Article/CDMD-10486-1017169974.htm
深度学习在遥感影像目标检测和地表覆盖分类中的应用研究,邰建豪,武汉大学,2017-05-01,//cdmd.cnki.com.cn/Article/CDMD-10486-1018033189.htm
基于人工智能诊断糖尿病黄斑水肿的研究,李霓,北京协和医学院,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10023-1019267473.htm
钢琴多音估计问题和音乐生成问题的深度学习方法,李星达,吉林大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1019157622.htm
基于“神威·太湖之光”的并行深度学习训练系统,方佳瑞,清华大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10003-1020828938.htm
同伴对话反馈策略促进大学生深度学习的理论与实践研究,姚佳佳,浙江大学,2020-10-20,//cdmd.cnki.com.cn/Article/CDMD-10335-1021535697.htm
基于深度学习的我国矿业境外投资风险评价研究,谷春燕,中国地质大学(北京),2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-11415-1019156317.htm
基于深度学习算法的黑素细胞肿瘤病理图像鉴别诊断研究,巴伟,中国人民解放军医学院,2019-05-16,//cdmd.cnki.com.cn/Article/CDMD-90115-1019247755.htm
深度学习下细粒度特征分析研究,曾宪贤,广东工业大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-11845-1020086910.htm
小学数学深度教学研究,吴宏,华中师范大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-10511-1018232117.htm
基于深度学习的图像处理算法研究,樊庆楠,山东大学,2019-04-20,//cdmd.cnki.com.cn/Article/CDMD-10422-1019113678.htm
基于监测大数据的产品剩余寿命预测方法研究,黄承赓,电子科技大学,2019-10-01,//cdmd.cnki.com.cn/Article/CDMD-10614-1020716398.htm
基于卷积神经网络的地震数据重构与模型构建研究,毛博,吉林大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1020754815.htm
基于自动编码器的高分辨雷达目标识别研究,邓盛,西安电子科技大学,2018-09-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1019140373.htm
复杂环境下基于深度学习的语音信号预处理方法研究,高天,中国科学技术大学,2018-10-01,//cdmd.cnki.com.cn/Article/CDMD-10358-1018313922.htm
蛋白质序列的深度建模及其应用,张步忠,苏州大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10285-1019259630.htm
人工智能在放射治疗中的若干应用研究,陈海斌,南方医科大学,2018-05-14,//cdmd.cnki.com.cn/Article/CDMD-12121-1018276210.htm
