PaperName,Author,FromSchool,Time,Url
基于机器学习的胸部X光片分类及胸部病变定位方法研究,李子荣,兰州大学,2019-03-01,//cdmd.cnki.com.cn/Article/CDMD-10730-1019873378.htm
基于计算机视觉与深度学习的汽车主动安全系统关键技术研究,高军,武汉理工大学,2018-09-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1020624860.htm
基于GPU能耗分析的集群可靠性方法,方玉玲,上海理工大学,2018-12-01,//cdmd.cnki.com.cn/Article/CDMD-10252-1020377304.htm
三目混合立体视觉系统检测技术研究,翁翔宇,哈尔滨工程大学,2019-10-10,//cdmd.cnki.com.cn/Article/CDMD-10217-1020160656.htm
基于高空斜视成像的航空相机目标地理定位技术研究,蔡一铭,中国科学院大学(中国科学院长春光学精密机械与物理研究所),2021-06-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1021043136.htm
美国两大政党组织结构研究,钱文华,华东师范大学,2008-05-01,//cdmd.cnki.com.cn/Article/CDMD-10269-2008146544.htm
转基因番茄标记基因剔除及翻译起始因子4E基因顺化植物的病毒抗性,张余洋,华中农业大学,2006-07-01,//cdmd.cnki.com.cn/Article/CDMD-10504-2007210093.htm
基于深度学习的SAR目标分类与检测技术研究,王琛,电子科技大学,2021-04-12,//cdmd.cnki.com.cn/Article/CDMD-10614-1021744083.htm
二维图像去反射和三维点云分析的深度学习模型研究,常亚坤,西安电子科技大学,2020-12-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1021034216.htm
基于机器学习的胸部X光片分类及胸部病变定位方法研究,李子荣,兰州大学,2019-03-01,//cdmd.cnki.com.cn/Article/CDMD-10730-1019873378.htm
基于计算机视觉与深度学习的汽车主动安全系统关键技术研究,高军,武汉理工大学,2018-09-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1020624860.htm
基于GPU能耗分析的集群可靠性方法,方玉玲,上海理工大学,2018-12-01,//cdmd.cnki.com.cn/Article/CDMD-10252-1020377304.htm
三目混合立体视觉系统检测技术研究,翁翔宇,哈尔滨工程大学,2019-10-10,//cdmd.cnki.com.cn/Article/CDMD-10217-1020160656.htm
基于高空斜视成像的航空相机目标地理定位技术研究,蔡一铭,中国科学院大学(中国科学院长春光学精密机械与物理研究所),2021-06-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1021043136.htm
美国两大政党组织结构研究,钱文华,华东师范大学,2008-05-01,//cdmd.cnki.com.cn/Article/CDMD-10269-2008146544.htm
转基因番茄标记基因剔除及翻译起始因子4E基因顺化植物的病毒抗性,张余洋,华中农业大学,2006-07-01,//cdmd.cnki.com.cn/Article/CDMD-10504-2007210093.htm
基于深度学习的SAR目标分类与检测技术研究,王琛,电子科技大学,2021-04-12,//cdmd.cnki.com.cn/Article/CDMD-10614-1021744083.htm
二维图像去反射和三维点云分析的深度学习模型研究,常亚坤,西安电子科技大学,2020-12-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1021034216.htm
基于机器学习的胸部X光片分类及胸部病变定位方法研究,李子荣,兰州大学,2019-03-01,//cdmd.cnki.com.cn/Article/CDMD-10730-1019873378.htm
基于计算机视觉与深度学习的汽车主动安全系统关键技术研究,高军,武汉理工大学,2018-09-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1020624860.htm
基于GPU能耗分析的集群可靠性方法,方玉玲,上海理工大学,2018-12-01,//cdmd.cnki.com.cn/Article/CDMD-10252-1020377304.htm
三目混合立体视觉系统检测技术研究,翁翔宇,哈尔滨工程大学,2019-10-10,//cdmd.cnki.com.cn/Article/CDMD-10217-1020160656.htm
基于高空斜视成像的航空相机目标地理定位技术研究,蔡一铭,中国科学院大学(中国科学院长春光学精密机械与物理研究所),2021-06-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1021043136.htm
美国两大政党组织结构研究,钱文华,华东师范大学,2008-05-01,//cdmd.cnki.com.cn/Article/CDMD-10269-2008146544.htm
转基因番茄标记基因剔除及翻译起始因子4E基因顺化植物的病毒抗性,张余洋,华中农业大学,2006-07-01,//cdmd.cnki.com.cn/Article/CDMD-10504-2007210093.htm
基于深度学习的SAR目标分类与检测技术研究,王琛,电子科技大学,2021-04-12,//cdmd.cnki.com.cn/Article/CDMD-10614-1021744083.htm
二维图像去反射和三维点云分析的深度学习模型研究,常亚坤,西安电子科技大学,2020-12-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1021034216.htm
基于机器学习的胸部X光片分类及胸部病变定位方法研究,李子荣,兰州大学,2019-03-01,//cdmd.cnki.com.cn/Article/CDMD-10730-1019873378.htm
基于计算机视觉与深度学习的汽车主动安全系统关键技术研究,高军,武汉理工大学,2018-09-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1020624860.htm
基于GPU能耗分析的集群可靠性方法,方玉玲,上海理工大学,2018-12-01,//cdmd.cnki.com.cn/Article/CDMD-10252-1020377304.htm
三目混合立体视觉系统检测技术研究,翁翔宇,哈尔滨工程大学,2019-10-10,//cdmd.cnki.com.cn/Article/CDMD-10217-1020160656.htm
基于高空斜视成像的航空相机目标地理定位技术研究,蔡一铭,中国科学院大学(中国科学院长春光学精密机械与物理研究所),2021-06-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1021043136.htm
美国两大政党组织结构研究,钱文华,华东师范大学,2008-05-01,//cdmd.cnki.com.cn/Article/CDMD-10269-2008146544.htm
转基因番茄标记基因剔除及翻译起始因子4E基因顺化植物的病毒抗性,张余洋,华中农业大学,2006-07-01,//cdmd.cnki.com.cn/Article/CDMD-10504-2007210093.htm
基于深度学习的SAR目标分类与检测技术研究,王琛,电子科技大学,2021-04-12,//cdmd.cnki.com.cn/Article/CDMD-10614-1021744083.htm
二维图像去反射和三维点云分析的深度学习模型研究,常亚坤,西安电子科技大学,2020-12-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1021034216.htm
基于机器学习的胸部X光片分类及胸部病变定位方法研究,李子荣,兰州大学,2019-03-01,//cdmd.cnki.com.cn/Article/CDMD-10730-1019873378.htm
基于计算机视觉与深度学习的汽车主动安全系统关键技术研究,高军,武汉理工大学,2018-09-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1020624860.htm
基于GPU能耗分析的集群可靠性方法,方玉玲,上海理工大学,2018-12-01,//cdmd.cnki.com.cn/Article/CDMD-10252-1020377304.htm
三目混合立体视觉系统检测技术研究,翁翔宇,哈尔滨工程大学,2019-10-10,//cdmd.cnki.com.cn/Article/CDMD-10217-1020160656.htm
基于高空斜视成像的航空相机目标地理定位技术研究,蔡一铭,中国科学院大学(中国科学院长春光学精密机械与物理研究所),2021-06-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1021043136.htm
美国两大政党组织结构研究,钱文华,华东师范大学,2008-05-01,//cdmd.cnki.com.cn/Article/CDMD-10269-2008146544.htm
转基因番茄标记基因剔除及翻译起始因子4E基因顺化植物的病毒抗性,张余洋,华中农业大学,2006-07-01,//cdmd.cnki.com.cn/Article/CDMD-10504-2007210093.htm
基于深度学习的SAR目标分类与检测技术研究,王琛,电子科技大学,2021-04-12,//cdmd.cnki.com.cn/Article/CDMD-10614-1021744083.htm
二维图像去反射和三维点云分析的深度学习模型研究,常亚坤,西安电子科技大学,2020-12-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1021034216.htm
基于机器学习的胸部X光片分类及胸部病变定位方法研究,李子荣,兰州大学,2019-03-01,//cdmd.cnki.com.cn/Article/CDMD-10730-1019873378.htm
基于计算机视觉与深度学习的汽车主动安全系统关键技术研究,高军,武汉理工大学,2018-09-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1020624860.htm
基于GPU能耗分析的集群可靠性方法,方玉玲,上海理工大学,2018-12-01,//cdmd.cnki.com.cn/Article/CDMD-10252-1020377304.htm
三目混合立体视觉系统检测技术研究,翁翔宇,哈尔滨工程大学,2019-10-10,//cdmd.cnki.com.cn/Article/CDMD-10217-1020160656.htm
基于高空斜视成像的航空相机目标地理定位技术研究,蔡一铭,中国科学院大学(中国科学院长春光学精密机械与物理研究所),2021-06-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1021043136.htm
美国两大政党组织结构研究,钱文华,华东师范大学,2008-05-01,//cdmd.cnki.com.cn/Article/CDMD-10269-2008146544.htm
转基因番茄标记基因剔除及翻译起始因子4E基因顺化植物的病毒抗性,张余洋,华中农业大学,2006-07-01,//cdmd.cnki.com.cn/Article/CDMD-10504-2007210093.htm
基于深度学习的SAR目标分类与检测技术研究,王琛,电子科技大学,2021-04-12,//cdmd.cnki.com.cn/Article/CDMD-10614-1021744083.htm
二维图像去反射和三维点云分析的深度学习模型研究,常亚坤,西安电子科技大学,2020-12-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1021034216.htm
基于机器学习的胸部X光片分类及胸部病变定位方法研究,李子荣,兰州大学,2019-03-01,//cdmd.cnki.com.cn/Article/CDMD-10730-1019873378.htm
基于计算机视觉与深度学习的汽车主动安全系统关键技术研究,高军,武汉理工大学,2018-09-01,//cdmd.cnki.com.cn/Article/CDMD-10497-1020624860.htm
基于GPU能耗分析的集群可靠性方法,方玉玲,上海理工大学,2018-12-01,//cdmd.cnki.com.cn/Article/CDMD-10252-1020377304.htm
三目混合立体视觉系统检测技术研究,翁翔宇,哈尔滨工程大学,2019-10-10,//cdmd.cnki.com.cn/Article/CDMD-10217-1020160656.htm
基于高空斜视成像的航空相机目标地理定位技术研究,蔡一铭,中国科学院大学(中国科学院长春光学精密机械与物理研究所),2021-06-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1021043136.htm
美国两大政党组织结构研究,钱文华,华东师范大学,2008-05-01,//cdmd.cnki.com.cn/Article/CDMD-10269-2008146544.htm
转基因番茄标记基因剔除及翻译起始因子4E基因顺化植物的病毒抗性,张余洋,华中农业大学,2006-07-01,//cdmd.cnki.com.cn/Article/CDMD-10504-2007210093.htm
基于深度学习的SAR目标分类与检测技术研究,王琛,电子科技大学,2021-04-12,//cdmd.cnki.com.cn/Article/CDMD-10614-1021744083.htm
