PaperName,Author,FromSchool,Time,Url
开源软件与专有软件的竞争,王广凤,辽宁大学,2008-04-01,//cdmd.cnki.com.cn/Article/CDMD-10140-2009044874.htm
软件可信性评估方法研究,石莉,合肥工业大学,2012-04-01,//cdmd.cnki.com.cn/Article/CDMD-10359-1012522193.htm
基于机器学习的软件缺陷预测方法研究,张志武,南京邮电大学,2019-12-09,//cdmd.cnki.com.cn/Article/CDMD-10293-1019692160.htm
“硬件-软件”平台质量改进激励合同与竞争策略研究,钟丽,电子科技大学,2019-10-28,//cdmd.cnki.com.cn/Article/CDMD-10614-1020716408.htm
基于价值网的软件企业商业模式创新研究,彭苏勉,北京交通大学,2011-12-01,//cdmd.cnki.com.cn/Article/CDMD-10004-1013135878.htm
基于软件体系结构的网构软件组装技术研究,杨杰,北京大学,2007-05-01,//cdmd.cnki.com.cn/Article/CDMD-10001-2007136845.htm
构件软件可靠性分析理论与方法研究,王强,合肥工业大学,2012-04-01,//cdmd.cnki.com.cn/Article/CDMD-10359-1013260204.htm
基于Internet/Intranet和Multi-Agent的企业经营战略群体决策支持系统研究,李春梅,昆明理工大学,2001-06-30,//cdmd.cnki.com.cn/Article/CDMD-10674-2001002705.htm
白盒环境中防动态攻击的软件保护方法研究,王怀军,西北大学,2014-06-01,//cdmd.cnki.com.cn/Article/CDMD-10697-1014364693.htm
软件安全开发关键技术的研究和实现,冯博,北京邮电大学,2010-05-10,//cdmd.cnki.com.cn/Article/CDMD-10013-1011184645.htm
离岸软件外包服务供应链的研究,甘卫华,南昌大学,2007-06-23,//cdmd.cnki.com.cn/Article/CDMD-11902-2007175568.htm
软件可靠性设计技术应用研究,刘逻,中国科学院研究生院（长春光学精密机械与物理研究所）,2013-05-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1013293650.htm
基于度量元的软件缺陷预测技术,杨晓杏,中国科学技术大学,2013-05-01,//cdmd.cnki.com.cn/Article/CDMD-10358-1014432177.htm
软件外包产业发展研究,吴琳,中共中央党校,2009-05-28,//cdmd.cnki.com.cn/Article/CDMD-80000-2009117155.htm
网络环境下著作权保护的法经济学分析,赵玥,吉林大学,2017-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1017156061.htm
知识驱动的开源软件体系结构归档及其作用机理研究,丁炜,武汉大学,2015-10-01,//cdmd.cnki.com.cn/Article/CDMD-10486-1016015939.htm
数控系统软件可靠性设计与故障分析技术,谷岩,吉林大学,2014-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1014268044.htm
并购中目标软件企业价值评估方法研究,仲昭朋,中央财经大学,2016-03-17,//cdmd.cnki.com.cn/Article/CDMD-10034-1017836159.htm
安卓平台安全性增强关键技术的研究,张源,复旦大学,2014-03-31,//cdmd.cnki.com.cn/Article/CDMD-10246-1015410885.htm
