PaperName,Author,FromSchool,Time,Url
基于小波变换的目标检测方法研究,王丽荣,吉林大学,2006-04-20,//cdmd.cnki.com.cn/Article/CDMD-10183-2006109668.htm
基于视觉记忆的目标检测算法：一个特征学习与特征联想的过程,郭明玮,中国科学技术大学,2014-05-02,//cdmd.cnki.com.cn/Article/CDMD-10358-1014268940.htm
基于上下文的目标检测研究,李涛,电子科技大学,2016-03-31,//cdmd.cnki.com.cn/Article/CDMD-10614-1016176786.htm
基于SAR图像的舰船目标检测方法研究,李焘,西安电子科技大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1020000349.htm
频率分集阵列雷达运动目标检测方法研究,许京伟,西安电子科技大学,2015-05-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1016006379.htm
视频监控中的前景目标检测算法研究,曾冬冬,中国科学院大学(中国科学院长春光学精密机械与物理研究所),2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1019042136.htm
基于图的半监督学习与排序模型的视觉显著目标检测研究,肖云,安徽大学,2019-09-01,//cdmd.cnki.com.cn/Article/CDMD-10357-1020014687.htm
基于稀疏动态反演的红外弱小目标检测理论及方法研究,王晓阳,电子科技大学,2018-09-05,//cdmd.cnki.com.cn/Article/CDMD-10614-1019817558.htm
复杂场景下显著目标检测,刘毅,西安电子科技大学,2019-12-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1020027764.htm
面向智能监控的目标检测、追踪及图像融合算法研究,康彬,南京邮电大学,2016-11-18,//cdmd.cnki.com.cn/Article/CDMD-10293-1016300501.htm
基于分形和多重分形的海面微弱目标检测方法研究,范一飞,西安电子科技大学,2016-04-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1016214578.htm
基于深度卷积神经网络的光学遥感目标检测技术研究,丁鹏,中国科学院大学(中国科学院长春光学精密机械与物理研究所),2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-80139-1019042146.htm
基于视频的运动目标检测研究,黄敏,东南大学,2014-11-15,//cdmd.cnki.com.cn/Article/CDMD-10286-1016326129.htm
基于深度卷积神经网络的遥感图像目标检测方法研究,邓志鹏,国防科技大学,2019-04-01,//cdmd.cnki.com.cn/Article/CDMD-91002-1020386005.htm
基于高时相探测的运动点目标检测方法研究,牛文龙,中国科学院大学(中国科学院国家空间科学中心),2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-80073-1018126555.htm
低检测率SAR图像目标检测与识别理论研究,刘说,电子科技大学,2017-02-01,//cdmd.cnki.com.cn/Article/CDMD-10614-1017076416.htm
